Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2019-03-19,    16975.00,    17021.25,    16873.40,    17001.90,      110217993,         3414.35
2019-03-20,    17001.00,    17036.10,    16905.80,    16986.20,      110832155,         3767.12
2019-03-22,    17045.40,    17094.40,    16819.50,    16879.10,      130978512,         5193.23
2019-03-25,    16741.15,    16744.70,    16600.55,    16664.35,       85958546,         2989.28
2019-03-26,    16681.05,    17052.00,    16663.55,    17012.35,       82489037,         3236.63
2019-03-27,    17104.40,    17264.00,    16982.90,    17108.55,      180607545,         6304.38
2019-03-28,    17136.90,    17367.40,    17082.80,    17336.75,      164212066,         6590.37
2019-03-29,    17359.40,    17370.50,    17224.10,    17315.55,      118069761,         4466.76
2019-04-01,    17377.15,    17431.70,    17165.35,    17225.25,      109356446,         3823.23
2019-04-02,    17299.90,    17299.90,    17117.60,    17226.70,       87129135,         3400.66
2019-04-03,    17276.30,    17367.40,    17063.05,    17101.50,       80125643,         3306.43
2019-04-04,    17127.60,    17163.60,    16909.75,    16961.60,      101810398,         3819.35
2019-04-05,    17015.95,    17160.80,    16969.65,    17111.80,       80379191,         2854.38
2019-04-08,    17175.40,    17191.60,    16901.30,    16971.95,       71984877,         2522.38
2019-04-09,    17001.70,    17178.35,    16907.30,    17146.05,       82934096,         3387.79
2019-04-10,    17038.45,    17179.05,    16967.40,    16990.50,      106150227,         8917.20
2019-04-11,    17011.30,    17014.00,    16873.50,    16946.95,       59930456,         2349.42
2019-04-12,    16949.30,    17068.20,    16911.95,    17032.20,       54995755,         2297.64
2019-04-15,    17060.15,    17156.70,    17018.45,    17120.90,       49416662,         2362.28
2019-04-16,    17200.60,    17444.25,    17194.75,    17411.00,       80868806,         3558.56
2019-04-18,    17488.80,    17498.15,    17183.90,    17230.90,       96361098,         3898.98
2019-04-22,    17259.40,    17266.50,    16855.70,    16877.05,       92443537,         4031.93
2019-04-23,    16920.85,    17010.20,    16748.45,    16760.95,       91297365,         3646.46
2019-04-24,    16806.00,    17003.50,    16736.95,    16974.15,       84198450,         3735.46
2019-04-25,    17020.60,    17107.10,    16787.60,    16817.15,      140907442,         5363.85
2019-04-26,    16946.60,    17082.80,    16803.50,    17062.00,      113560996,         5006.48
2019-04-30,    16971.75,    16971.75,    16707.95,    16807.40,      292013959,         8195.22
2019-05-02,    16768.00,    16892.25,    16720.50,    16754.70,      184584178,         5944.93
